Product_ID,Product_Name,Category,Price_USD,Rating,Review_Count,Sales_Potential,Product_Family,Price_Tier,Rating_Band,Review_Intensity
AZ1001,Power Bank Model-39,Audio,591.53,4.1,4399,2602140.4699999997,Power Bank,Core,Solid,Moderate
AZ1002,External SSD Model-20,Accessories,647.02,3.6,9779,6327208.58,External SSD,Core,Needs Attention,Very High
AZ1003,Smart Watch Model-72,Accessories,419.88,4.7,9704,4074515.52,Smart Watch,Core,Strong,Very High
AZ1004,Graphics Card Model-97,Electronics,214.91,4.8,6305,1355007.55,Graphics Card,Value,Excellent,High
AZ1005,Mechanical Keyboard Model-53,Computers,1002.45,4.1,8880,8901756.0,Mechanical Keyboard,Premium,Solid,Very High
AZ1006,USB-C Hub Model-94,Computers,638.88,4.4,2724,1740309.1199999999,USB-C Hub,Core,Strong,Moderate
AZ1007,External SSD Model-97,Audio,546.71,3.6,532,290849.72000000003,External SSD,Core,Needs Attention,Low
AZ1008,Smart Watch Model-25,Audio,856.78,4.1,8072,6915928.16,Smart Watch,Premium,Solid,Very High
AZ1009,VR Headset Model-15,Electronics,97.64,4.0,7424,724879.36,VR Headset,Value,Solid,Very High
AZ1010,Smart Watch Model-27,Audio,35.02,4.9,5453,190964.06000000003,Smart Watch,Value,Excellent,High
AZ1011,Webcam Pro Model-75,Computers,724.8,3.6,7763,5626622.399999999,Webcam Pro,Premium,Needs Attention,Very High
AZ1012,Bluetooth Headphones Model-68,Audio,1283.4,4.3,634,813675.6000000001,Bluetooth Headphones,Ultra Premium,Strong,Low
AZ1013,Gaming Laptop Model-83,Audio,1386.96,3.9,991,1374477.36,Gaming Laptop,Ultra Premium,Solid,Low
AZ1014,Power Bank Model-58,Audio,321.92,4.9,7059,2272433.2800000003,Power Bank,Value,Excellent,High
AZ1015,External SSD Model-90,Audio,23.23,3.6,2853,66275.19,External SSD,Value,Needs Attention,Moderate
AZ1016,Tablet Model-67,Electronics,1130.81,4.5,7707,8715152.67,Tablet,Ultra Premium,Strong,Very High
AZ1017,Gaming Laptop Model-24,Accessories,1007.39,3.8,2840,2860987.6,Gaming Laptop,Premium,Solid,Moderate
AZ1018,Mechanical Keyboard Model-82,Computers,463.13,4.1,2342,1084650.46,Mechanical Keyboard,Core,Solid,Low
